TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
8132,1.20,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
8192,1.20,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
8202,1.20,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
921,1.10,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
841,1.20,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
931,1.10,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
911,1.10,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
881,1.20,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
821,1.20,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
8131,1.20,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
851,1.20,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
8141,1.20,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
8161,1.20,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
942,1.10,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
861,1.20,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
871,1.20,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
902,1.10,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
891,1.20,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
8101,1.20,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
912,1.10,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
8201,1.20,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
982,1.10,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
